ADY,,0.004%,0.008%,0.013%,0.021%,0.032%,0.042%,0.053%,0.063%,0.074%,0.084%,0.126%,0.168%,0.210%,0.252%,0.294%,0.336%,0.420%,0.504%,0.588%,0.672%,0.756%,0.840%,0.924%,1.008%,1.092%,1.176%,1.260%
IDY,,0.003%,0.006%,0.010%,0.016%,0.024%,0.032%,0.040%,0.048%,0.056%,0.064%,0.096%,0.128%,0.160%,0.192%,0.224%,0.256%,0.320%,0.384%,0.448%,0.512%,0.576%,0.640%,0.704%,0.768%,0.832%,0.896%,0.960%
15.0,59,,139,103,71,53,43,37,32,29,26,19,16,13,12,10,9,8,7,6,6,5,5,4,4,4,4,3
15.6,60,,129,96,66,49,40,34,30,27,24,18,15,12,11,10,9,7,7,6,5,5,4,4,4,4,3,3
16.1,61,,120,90,62,46,37,32,28,25,22,17,14,12,10,9,8,7,6,5,5,4,4,4,3,3,3,3
16.7,62,,112,83,58,43,35,30,26,23,21,16,13,11,9,8,8,6,6,5,5,4,4,4,3,3,3,3
17.2,63,,105,78,54,40,32,28,24,22,20,15,12,10,9,8,7,6,5,5,4,4,4,3,3,3,3,3
17.8,64,162,98,73,50,37,30,26,23,20,18,14,11,9,8,7,7,6,5,4,4,4,3,3,3,3,2,2
18.3,65,152,92,68,47,35,28,24,21,19,17,13,10,9,8,7,6,5,5,4,4,3,3,3,3,2,2,2
18.9,66,142,86,64,44,33,27,23,20,18,16,12,10,8,7,6,6,5,4,4,4,3,3,3,2,2,2,2
19.4,67,133,80,60,41,31,25,21,19,17,15,11,9,8,7,6,5,4,4,4,3,3,3,2,2,2,2,2
20.0,68,120,73,54,37,28,22,19,17,15,14,10,8,7,6,5,5,4,4,3,3,3,2,2,2,2,2,2
20.6,69,109,66,49,34,25,20,17,15,14,12,9,7,6,5,5,4,4,3,3,3,2,2,2,2,2,2,1
21.1,70,99,60,45,31,23,19,16,14,12,11,8,7,6,5,4,4,3,3,3,2,2,2,2,2,2,1,1
21.7,71,90,55,41,28,21,17,14,13,11,10,8,6,5,5,4,3,3,3,2,2,2,2,2,2,1,1,1
22.2,72,83,50,37,26,19,15,13,12,10,9,7,6,5,4,4,3,3,2,2,2,2,2,2,1,1,1,1
22.8,73,76,46,34,24,18,14,12,11,9,9,7,6,5,4,4,3,3,2,2,2,2,2,1,1,1,1,1
23.3,74,70,42,32,22,16,13,11,10,9,8,6,5,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1
23.9,75,65,39,29,20,15,12,10,9,8,7,5,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1
24.4,76,60,36,27,19,14,11,10,8,7,7,5,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
25.0,77,56,34,25,17,13,10,9,8,7,6,5,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1
25.6,78,52,31,23,16,12,10,8,7,6,6,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1
26.1,79,48,29,22,15,11,9,8,7,6,5,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1
26.7,80,45,27,20,14,10,8,7,6,5,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1
